Date,Total Scheduled ,Total Absent,Open Time,AUX01 Paid Break,AUX01 Unpaid Lunch,Meeting-Unavail-Paid,Client ACD - Coaching,Absent,Unconfirmed LOA,MIA,Late-Tardy-Sign Off,Holiday-Float-Pd,On Loan to Program C,VZN Training Mod 2L,Personal Off Phon-Pd,Sick-Paid,MTO,No Call No Show-Unp,Sick-Unpaid,Leave-Personal-Unp,Training-SITEL-Pd,Excessive Time Off,Idle,V - Back Office Work,Borrowed A - Signon,OJT/Mentor-Paid,Borrowed B - Signon,CapOne - Virtual 2,SHIFT - V - Back Office Work,Month,DayOfWeek,IsWeekend
2023-01-11,4835.249999963,174.01666666399998,2224.166666653,289.75,629,96.1,59.5,25.0,43.866666666,6.516666665,3.15,31.166666665999998,43.666666666,8.5,0.416666667,1.15,38.716666666,8.0,81.999999999,41.5,0.0,3.983333334,479.883333333,635.36666667,86.249999999,34.833333333,0.0,0.0,0.0,1,2,0
2023-01-12,4585.166666625,140.216666663,2080.216666644,276.75,594,124.0,47.0,24.333333333,31.333333333,2.233333333,1.8166666649999998,48.833333333,33.666666666,8.5,0.966666667,10.0,171.75,16.5,47.999999998999996,24.5,0.0,3.083333333,632.783333339,473.366666663,81.516666667,29.333333333,0.0,0.0,0.0,1,3,0
2023-01-13,4535.166666632,152.566666665,2137.533333321,272.75,589,83.0,38.0,23.166666665999998,31.833333333,4.816666667,7.066666667,49.5,44.999999998999996,8.5,10.25,13.850000000000001,126.0,0.0,67.833333332,41.5,0.0,6.833333334000001,289.833333329,803.366666671,88.633333335,28.333333333,0.0,0.0,0.0,1,4,0
2023-01-14,2584.749999976,124.766666665,1272.049999991,154.5,352,27.0,10.5,53.666666665,0.0,3.600000001,4.583333333,25.0,34.083333333,0.0,18.083333333,0.0,94.5,16.5,39.333333333,17.0,60.0,3.783333332,35.616666667000004,620.966666659,48.883333332,15.5,0.0,0.0,0.0,1,5,1
2023-01-15,1385.499999987,102.749999999,1029.69999999,80.75,193,0.0,21.5,23.833333333,23.833333333,4.583333333,7.3666666670000005,4.0,28.166666665999998,8.5,0.44999999999999996,7.05,23.0,7.333333333,28.75,24.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
2023-01-16,3755.466666638,201.799999997,2072.966666648,220.75,516,242.266666667,51.25,40.833333333,23.833333333,5.016666666,7.316666666,57.5,37.199999999,8.5,0.116666667,9.95,112.083333333,15.333333332999999,72.4,40.833333333,57.0,1.916666665,54.033333334,321.649999997,118.666666667,21.333333333,0.0,0.0,0.0,1,0,0
2023-01-17,4703.7166666309995,186.63333333,2198.633333318,281.5,613,119.399999999,65.0,23.833333333,40.833333333,5.216666666,6.116666664,49.5,39.783333333,0.0,0.083333333,26.283333333999998,38.716666666,8.5,71.6,23.833333333,65.0,3.95,134.950000006,874.449999992,164.766666665,28.333333333,0.0,0.0,0.0,1,1,0
2023-01-18,4713.91666663,226.749999996,2270.4333333179998,278.75,617,47.5,59.75,32.333333333,43.816666666,3.233333333,7.749999998,58.0,28.916666665999998,8.5,0.0,24.633333333,163.5,8.5,102.466666666,32.333333333,0.0,5.05,469.966666665,620.716666672,98.033333331,34.116666666,0.0,0.0,0.0,1,2,0
2023-01-19,4550.749999961,133.316666667,2176.283333308,274.5,598,124.083333334,45.75,16.5,40.833333333,3.0,1.6666666669999999,45.75,31.166666665999998,8.5,0.9,6.683333334,158.5,0.0,61.583333333,23.833333333,0.0,3.65,719.150000008,362.016666663,93.633333332,35.333333333,0.0,0.0,0.0,1,3,0
2023-01-20,4586.083333301,244.333333329,2171.849999979,270.25,602,105.0,37.75,41.0,57.833333333,10.983333334,5.999999996,45.75,49.499999998999996,8.5,0.0,17.433333333,162.0,8.5,100.583333333,16.5,68.0,3.633333334,459.716666661,624.58333333,96.8,35.833333333,0.0,0.0,0.0,1,4,0
2023-01-21,2527.08333331,109.349999999,1107.233333319,153.0,353,20.416666667,14.0,45.333333331999995,8.5,3.483333333,8.616666667,58.5,42.333333333,0.0,0.5,1.916666667,111.083333333,0.0,41.5,8.5,50.533333333,1.683333333,31.4,608.733333325,54.249999998999996,15.0,0.0,0.0,0.0,1,5,1
2023-01-22,1328.249999985,124.43333333,968.866666659,74.5,176,22.0,7.5,15.333333332999999,31.666666665999998,3.6333333320000003,4.283333334,8.0,19.083333333,16.5,0.0,10.516666666,29.5,8.5,47.999999998999996,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
2023-01-23,4160.333333303,259.533333328,2403.333333318,242.25,541,114.75,57.0,41.5,56.666666666,5.566666666,6.583333331,53.166666667,37.333333331999995,16.5,4.3500000000000005,31.983333333,138.75,8.5,80.88333333199999,8.0,23.0,4.616666668,23.65,322.749999998,121.283333333,19.833333333,0.0,0.0,0.0,1,0,0
2023-01-24,4734.083333296,206.233333333,2124.249999988,282.25,610,165.9,68.5,16.5,42.0,11.750000001,6.933333331,56.833333333,34.499999998999996,8.0,6.9,11.350000001,167.799999999,8.0,85.466666666,8.0,44.0,3.833333332,68.666666665,930.383333325,181.050000001,28.333333333,0.0,0.0,0.0,1,1,0
2023-01-25,4582.833333294,171.866666663,2206.266666651,273.75,600,119.733333334,59.75,0.0,50.833333333,3.016666667,8.183333331,63.666666666,40.666666666,8.5,8.9,8.583333333,113.75,0.0,89.999999999,16.5,23.0,5.216666667,153.533333336,932.516666656,94.666666664,27.333333333,0.0,0.0,0.0,1,2,0
2023-01-26,4429.333333293,218.149999997,2081.733333315,261.75,586,128.433333333,50.0,8.5,40.833333333,4.816666667,6.583333332,56.166666666,32.999999998999996,8.5,11.233333333,20.883333333,103.166666667,8.0,36.8,24.5,47.0,4.366666667,313.749999998,743.516666657,93.566666668,29.333333333,0.0,0.0,0.0,1,3,0
2023-01-27,4438.266666634,205.083333331,2182.716666654,261.25,600,69.833333333,38.25,17.0,49.333333333,8.55,5.699999999,48.333333333,42.733333332,8.5,8.566666667,10.133333333,117.583333333,0.0,104.333333333,23.833333333,27.0,4.816666666,463.249999998,714.499999999,99.166666666,29.333333333,0.0,0.0,0.0,1,4,0
2023-01-28,2651.33333331,98.26666666599999,1023.883333323,160.0,364,31.833333334,11.5,31.333333333,8.0,4.45,3.9166666660000002,25.0,32.5,0.0,0.083333333,3.233333333,101.333333333,8.0,39.333333333,16.5,22.0,3.016666667,44.683333334,602.116666658,48.649999999,15.0,0.0,0.0,0.0,1,5,1
2023-01-29,1233.499999986,46.933333332000004,981.283333321,74.5,171,50.5,17.5,0.0,15.833333332999999,0.6333333329999999,3.883333333,32.833333333,18.833333333,8.5,0.4,11.433333333,12.833333332999999,0.0,15.15,15.833333332999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
